"c2g__Transaction__r.Id","c2g__Transaction__r.c2g__TransactionDate__c","c2g__Transaction__r.CreatedBy.Name","c2g__Transaction__r.c2g__DocumentDescription__c","c2g__Transaction__r.c2g__DocumentNumber__c","c2g__Transaction__r.c2g__Account__c","c2g__Transaction__r.c2g__Account__r.Type","c2g__Transaction__r.c2g__Period__r.c2g__PeriodNumber__c","Id","TLDebit__c","TLCredit__c","c2g__GeneralLedgerAccount__c","CreatedDate","c2g__LineDescription__c","c2g__GeneralLedgerAccount__r.c2g__ReportingCode__c"
"a3i1o000000MV43AAG","2017-12-29","Tatiana Abreu","Invoice Number:PIN004053","PCR000094","0012400000cf8SKAAY","Channel Partner / Vendor","012","a3h1o000000EsSYAA0","15373.77","0.0","a2l24000000U9vrAAC","2017-12-29T12:31:43.000Z","Invoice Number:PIN004053","22114"
"a3i1o000000MV43AAG","2017-12-29","Tatiana Abreu","Invoice Number:PIN004053","PCR000094","0012400000cf8SKAAY","Channel Partner / Vendor","012","a3h1o000000EsSZAA0","0.0","12499.0","a2l24000000U9y3AAC","2017-12-29T12:31:43.000Z","","311"
"a3i1o000000MV43AAG","2017-12-29","Tatiana Abreu","Invoice Number:PIN004053","PCR000094","0012400000cf8SKAAY","Channel Partner / Vendor","012","a3h1o000000EsSaAAK","0.0","2874.77","a2l24000000U9wOAAS","2017-12-29T12:31:43.000Z","CCONT23","2432113"
"a3i1o000000MV48AAG","2017-12-29","Tatiana Abreu","Invoice Number:PIN004054","PCR000095","0012400000cf8SKAAY","Channel Partner / Vendor","012","a3h1o000000EsSdAAK","2485.65","0.0","a2l24000000U9vrAAC","2017-12-29T12:33:40.000Z","Invoice Number:PIN004054","22114"
"a3i1o000000MV48AAG","2017-12-29","Tatiana Abreu","Invoice Number:PIN004054","PCR000095","0012400000cf8SKAAY","Channel Partner / Vendor","012","a3h1o000000EsSeAAK","0.0","2020.85","a2l24000000U9y3AAC","2017-12-29T12:33:40.000Z","","311"
"a3i1o000000MV48AAG","2017-12-29","Tatiana Abreu","Invoice Number:PIN004054","PCR000095","0012400000cf8SKAAY","Channel Partner / Vendor","012","a3h1o000000EsSfAAK","0.0","464.8","a2l24000000U9wOAAS","2017-12-29T12:33:40.000Z","CCONT23","2432113"
"a3i1o000000MV4IAAW","2017-12-29","Tatiana Abreu","Invoice Number:PIN004055","PCR000096","0012400000cf8SKAAY","Channel Partner / Vendor","012","a3h1o000000EsSnAAK","9775.67","0.0","a2l24000000U9vrAAC","2017-12-29T12:37:34.000Z","Invoice Number:PIN004055","22114"
"a3i1o000000MV4IAAW","2017-12-29","Tatiana Abreu","Invoice Number:PIN004055","PCR000096","0012400000cf8SKAAY","Channel Partner / Vendor","012","a3h1o000000EsSoAAK","0.0","7947.7","a2l24000000U9y3AAC","2017-12-29T12:37:34.000Z","","311"
"a3i1o000000MV4IAAW","2017-12-29","Tatiana Abreu","Invoice Number:PIN004055","PCR000096","0012400000cf8SKAAY","Channel Partner / Vendor","012","a3h1o000000EsSpAAK","0.0","1827.97","a2l24000000U9wOAAS","2017-12-29T12:37:34.000Z","CCONT23","2432113"
"a3i1o000000MV4SAAW","2017-12-29","Tatiana Abreu","Invoice Number:PIN004056","PCR000097","0012400000cf8SKAAY","Channel Partner / Vendor","012","a3h1o000000EsSxAAK","3114.24","0.0","a2l24000000U9vrAAC","2017-12-29T12:41:12.000Z","Invoice Number:PIN004056","22114"
